,file_name,timestamp,updates_num,diff_updates_num,withdrawls_num,diff_withdrawls_num,peers_num,diff_peers_num,origins_num,diff_origins_num,prefixes_num,diff_prefixes_num,avg_update_per_peer,avg_update_per_origin,avg_prefix_per_peer,avg_prefix_per_origin,new_prefixes_num,more_specific_num,origins_of_new_prefixes,peers_of_new_prefixes,origins_of_more_specific_prefixes,peers_of_more_specific_prefixes,new_peers_num,new_origins_num,Leak_type
41,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1530.txt,1530,24127,14086,3290,2159,8,0,420,123,2470,795,3427,65,873,6,2408,0,367,8,0,0,0,300,0
42,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1600.txt,1600,9725,-14402,1282,-2008,8,0,392,-28,2018,-452,1375,28,667,5,1938,1,344,7,1,1,0,170,0
43,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1630.txt,1630,166283,156558,834,-448,8,0,10798,10406,85674,83656,20889,15,11056,7,85082,30,10718,6,6,2,0,10584,0
44,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1700.txt,1700,7001,-159282,659,-175,8,0,358,-10440,2030,-83644,957,21,431,5,1953,0,309,8,0,0,0,147,0
45,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1730.txt,1730,4273,-2728,519,-140,6,-2,218,-140,916,-1114,798,21,337,4,864,0,172,6,0,0,0,99,0
46,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1800.txt,1800,30720,26447,993,474,7,1,2183,1965,15966,15050,4530,14,2528,7,15837,0,2134,7,0,0,1,2077,0
47,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1830.txt,1830,1904320,1873600,588,-405,8,1,40276,38093,408809,392843,238113,47,125748,10,406651,53,40060,8,15,5,1,38093,0
48,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1900.txt,1900,3986485,2082165,260,-328,8,0,40274,-2,409438,629,498343,98,137619,10,407225,0,40101,8,0,0,0,7,0
49,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.1930.txt,1930,3798,-3982687,834,574,8,0,189,-40085,907,-408531,579,24,216,5,845,0,144,7,0,0,0,7,0
50,Dodo23Feb2012from230to330/routeview-sydney\updates.20120223.2000.txt,2000,4028,230,638,-196,8,0,228,39,762,-145,583,20,206,3,663,0,179,8,0,0,0,138,0
